row_id,foa_id,title,agency,category,concept_id,concept_label,concept_description,text_snippet,relevant_yes_no
931,28a8f5d3-2b05-404f-9f66-62f77db1aea5,General Departmental Sexual Risk Avoidance Education (GDSRAE),HHS-ACF-FYSB,population,pop_03,Low-Income Populations,"Research that studies, serves, or is designed to benefit economically disadvantaged people: households below the poverty line, low-income families, people experiencing financial hardship, welfare and safety-net recipients, and underserved communities defined by economic status. Covers poverty, income inequality, economic mobility, and material deprivation as they affect people.","The purpose of the SRAE Program is to fund projects to implement sexual risk avoidance education that teach participants how to voluntarily refrain from non-marital sexual activity. The services are targeted to participants that reside in areas with high rates of teen births and/or are at greatest risk of contracting sexually transmitted infections (STIs). The goals of SRAE are to empower participants to make healthy decisions, and provide tools and resources to prevent pregnancy, STIs, and youth engagement in other risky behaviors.",no
932,28a8f5d3-2b05-404f-9f66-62f77db1aea5,General Departmental Sexual Risk Avoidance Education (GDSRAE),HHS-ACF-FYSB,population,pop_04,Children and Youth,"Research that studies, serves, or is designed to benefit infants, children, adolescents, teenagers, and young people. Covers child development, paediatric health, early childhood, adolescent behaviour, foster care, at-risk youth, and juvenile populations. Distinct from Students, which concerns people by enrolment rather than by age.","The goals of SRAE are to empower participants to make healthy decisions, and provide tools and resources to prevent pregnancy, STIs, and youth engagement in other risky behaviors. Successful applicants are expected to submit program plans that agree to: 1) use medically accurate information referenced to peer-reviewed publications by education, scientific, governmental or health organizations; 2) implement sexual risk avoidance curricula and/or strategies with an evidence-based approach to integrate research findings with practical implementation that aligns with the needs and desired outcomes for the intended audience; and 3) teach the benefits associated with self-regulation, success sequencing for poverty prevention, healthy relationships, goal setting, and resisting sexual coercion, dating violence, and other youth risk behaviors such as underage drinking or illicit drug use without normalizing teen sexual activity. Applications from individuals (including sole proprietorships) and foreign entities are not eligible and will be disqualified from the merit review and funding under this funding opportunity.",yes
933,28a8f5d3-2b05-404f-9f66-62f77db1aea5,General Departmental Sexual Risk Avoidance Education (GDSRAE),HHS-ACF-FYSB,population,pop_08,Racial and Ethnic Minorities,"Research that studies, serves, or is designed to benefit racially and ethnically minoritised groups, including African American and Black, Hispanic and Latino, Asian American, and Pacific Islander populations. Covers racial health disparities, discrimination, structural racism, minority-serving contexts, and underrepresentation by race or ethnicity.","The goals of SRAE are to empower participants to make healthy decisions, and provide tools and resources to prevent pregnancy, STIs, and youth engagement in other risky behaviors. Successful applicants are expected to submit program plans that agree to: 1) use medically accurate information referenced to peer-reviewed publications by education, scientific, governmental or health organizations; 2) implement sexual risk avoidance curricula and/or strategies with an evidence-based approach to integrate research findings with practical implementation that aligns with the needs and desired outcomes for the intended audience; and 3) teach the benefits associated with self-regulation, success sequencing for poverty prevention, healthy relationships, goal setting, and resisting sexual coercion, dating violence, and other youth risk behaviors such as underage drinking or illicit drug use without normalizing teen sexual activity. Applications from individuals (including sole proprietorships) and foreign entities are not eligible and will be disqualified from the merit review and funding under this funding opportunity.",no
934,28a8f5d3-2b05-404f-9f66-62f77db1aea5,General Departmental Sexual Risk Avoidance Education (GDSRAE),HHS-ACF-FYSB,population,pop_09,Women and Girls,"Research that studies, serves, or is designed to benefit women and girls, including maternal and reproductive health, gender-based violence, women's participation and advancement, sex differences in disease, and gender equity in the workforce.","The goals of SRAE are to empower participants to make healthy decisions, and provide tools and resources to prevent pregnancy, STIs, and youth engagement in other risky behaviors. Successful applicants are expected to submit program plans that agree to: 1) use medically accurate information referenced to peer-reviewed publications by education, scientific, governmental or health organizations; 2) implement sexual risk avoidance curricula and/or strategies with an evidence-based approach to integrate research findings with practical implementation that aligns with the needs and desired outcomes for the intended audience; and 3) teach the benefits associated with self-regulation, success sequencing for poverty prevention, healthy relationships, goal setting, and resisting sexual coercion, dating violence, and other youth risk behaviors such as underage drinking or illicit drug use without normalizing teen sexual activity. Applications from individuals (including sole proprietorships) and foreign entities are not eligible and will be disqualified from the merit review and funding under this funding opportunity.",no
935,28a8f5d3-2b05-404f-9f66-62f77db1aea5,General Departmental Sexual Risk Avoidance Education (GDSRAE),HHS-ACF-FYSB,population,pop_13,LGBTQ+ Populations,"Research that studies, serves, or is designed to benefit lesbian, gay, bisexual, transgender, queer, nonbinary, and other sexual and gender minority people. Covers LGBTQ+ health disparities, minority stress, identity, discrimination, and inclusion.","The purpose of the SRAE Program is to fund projects to implement sexual risk avoidance education that teach participants how to voluntarily refrain from non-marital sexual activity. The services are targeted to participants that reside in areas with high rates of teen births and/or are at greatest risk of contracting sexually transmitted infections (STIs). The goals of SRAE are to empower participants to make healthy decisions, and provide tools and resources to prevent pregnancy, STIs, and youth engagement in other risky behaviors.",no
936,c1e617d8-454e-4c87-b348-3ff3fd416bc9,DoW Neurofibromatosis Research Academy â Leadership Award,DOD-AMRAA,method,method_16,Meta-Analysis,"Research statistically synthesising results across multiple prior studies: systematic review with pooled effect sizes, evidence synthesis, and quantitative aggregation of published findings.","Academy Deputy Director: Investigators at or above the level of Associate Professor, or equivalent, at the full application deadline and affiliated with a different institution than the Academy Director. â¢ Pilot Research Project: The Academy Director and Deputy Director will conduct one or more pilot research projects in collaboration with the academy scholars. Preliminary and/or published data relevant to NF and the proposed research project are encouraged but not required.",no
937,8c4d2779-d98a-4a40-84c7-277a3ce3b09c,NIDCD Research Career Enhancement Award for Established Investigators (K18 Clinical Trial Not Allowed),HHS-NIH11,method,method_05,Randomized Controlled Trial,"Research using experimental designs with random assignment of participants to treatment and control or comparison conditions, including randomised trials, cluster-randomised designs, and controlled intervention studies where randomisation establishes causal inference.","NIDCD Research Career Enhancement Award for Established Investigators (K18 Clinical Trial Not Allowed) The purpose of the NIDCD Research Career Enhancement Award for Established Investigators (K18) program is to enable established, proven investigators to augment or redirect their research programs through the acquisition of new research skills to answer questions relevant to the hearing, balance, smell, taste, voice, speech and language sciences. Other Eligible Applicants include the following: Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Organizations) are not eligible to apply.",no
938,8c4d2779-d98a-4a40-84c7-277a3ce3b09c,NIDCD Research Career Enhancement Award for Established Investigators (K18 Clinical Trial Not Allowed),HHS-NIH11,method,method_09,Community-Based Participatory Research,"Research conducted in equitable partnership with community members and organisations, who share in design, data collection, interpretation, and dissemination. Distinguished by community co-ownership of the research process, not merely recruiting community participants or conducting outreach.","NIDCD Research Career Enhancement Award for Established Investigators (K18 Clinical Trial Not Allowed) The purpose of the NIDCD Research Career Enhancement Award for Established Investigators (K18) program is to enable established, proven investigators to augment or redirect their research programs through the acquisition of new research skills to answer questions relevant to the hearing, balance, smell, taste, voice, speech and language sciences. Other Eligible Applicants include the following: Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Organizations) are not eligible to apply.",no
939,8c4d2779-d98a-4a40-84c7-277a3ce3b09c,NIDCD Research Career Enhancement Award for Established Investigators (K18 Clinical Trial Not Allowed),HHS-NIH11,method,method_16,Meta-Analysis,"Research statistically synthesising results across multiple prior studies: systematic review with pooled effect sizes, evidence synthesis, and quantitative aggregation of published findings.","NIDCD Research Career Enhancement Award for Established Investigators (K18 Clinical Trial Not Allowed) The purpose of the NIDCD Research Career Enhancement Award for Established Investigators (K18) program is to enable established, proven investigators to augment or redirect their research programs through the acquisition of new research skills to answer questions relevant to the hearing, balance, smell, taste, voice, speech and language sciences. Other Eligible Applicants include the following: Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Organizations) are not eligible to apply.",no
940,8c4d2779-d98a-4a40-84c7-277a3ce3b09c,NIDCD Research Career Enhancement Award for Established Investigators (K18 Clinical Trial Not Allowed),HHS-NIH11,method,method_20,Clinical Trial,"Research testing medical or health interventions in human participants to assess safety, efficacy, or effectiveness: phased clinical studies, pragmatic trials, and clinical intervention protocols in patient populations.","NIDCD Research Career Enhancement Award for Established Investigators (K18 Clinical Trial Not Allowed) The purpose of the NIDCD Research Career Enhancement Award for Established Investigators (K18) program is to enable established, proven investigators to augment or redirect their research programs through the acquisition of new research skills to answer questions relevant to the hearing, balance, smell, taste, voice, speech and language sciences. Other Eligible Applicants include the following: Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Organizations) are not eligible to apply.",no
941,8c4d2779-d98a-4a40-84c7-277a3ce3b09c,NIDCD Research Career Enhancement Award for Established Investigators (K18 Clinical Trial Not Allowed),HHS-NIH11,population,pop_07,Indigenous Peoples,"Research that studies, serves, or is designed to benefit Native American, American Indian, Alaska Native, Native Hawaiian, First Nations, and other Indigenous peoples. Covers Indigenous health, language revitalisation, traditional ecological knowledge, and self-determination. Overlaps with Tribal Communities, which refers specifically to federally recognised tribal nations as governing entities.","NIDCD Research Career Enhancement Award for Established Investigators (K18 Clinical Trial Not Allowed) The purpose of the NIDCD Research Career Enhancement Award for Established Investigators (K18) program is to enable established, proven investigators to augment or redirect their research programs through the acquisition of new research skills to answer questions relevant to the hearing, balance, smell, taste, voice, speech and language sciences. Other Eligible Applicants include the following: Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Organizations) are not eligible to apply. Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply.",no
942,8c4d2779-d98a-4a40-84c7-277a3ce3b09c,NIDCD Research Career Enhancement Award for Established Investigators (K18 Clinical Trial Not Allowed),HHS-NIH11,population,pop_08,Racial and Ethnic Minorities,"Research that studies, serves, or is designed to benefit racially and ethnically minoritised groups, including African American and Black, Hispanic and Latino, Asian American, and Pacific Islander populations. Covers racial health disparities, discrimination, structural racism, minority-serving contexts, and underrepresentation by race or ethnicity.","NIDCD Research Career Enhancement Award for Established Investigators (K18 Clinical Trial Not Allowed) The purpose of the NIDCD Research Career Enhancement Award for Established Investigators (K18) program is to enable established, proven investigators to augment or redirect their research programs through the acquisition of new research skills to answer questions relevant to the hearing, balance, smell, taste, voice, speech and language sciences. Other Eligible Applicants include the following: Alaska Native and Native Hawaiian Serving Institutions; Asian American Native American Pacific Islander Serving Institutions (AANAPISISs); Eligible Agencies of the Federal Government; Faith-based or Community-based Organizations; Hispanic-serving Institutions; Historically Black Colleges and Universities (HBCUs); Indian/Native American Tribal Governments (Other than Federally Recognized); Non-domestic (non-U.S.) Entities (Foreign Organizations); Regional Organizations; Tribally Controlled Colleges and Universities (TCCUs) ; U.S. Territory or Possession; Non-domestic (non-U.S.) Entities (Foreign Organizations) are not eligible to apply. Non-domestic (non-U.S.) components of U.S. Organizations are not eligible to apply.",no
943,6121d858-233b-4ca0-8bbf-856a3468b902,Joint National Science Foundation and United States Department of Agriculture National Institute of Food and Agriculture Funding Opportunity: Supporting Foundational Research in Robotics (FRR),NSF,population,pop_16,Agricultural Workers,"Research that studies, serves, or is designed to benefit farmworkers, farm labourers, migrant and seasonal agricultural workers, ranchers, and people employed in food production. Covers occupational exposure, pesticide safety, farm injury, and agricultural labour conditions.","Submissions will be evaluated in FRR review panels, following the requirements of the NSF Proposal & Award Policies & Procedures Guide (PAPPG) ( https://new.nsf.gov/policies/pappg ), and the FRR Program Description ( https://new.nsf.gov/funding/opportunities/foundational-research-robotics-frr ). Proposals submitted under this Dear Colleague Letter must be clearly justified by important needs in agriculture and the agricultural sciences. NSF will manage and conduct the review process of proposals submitted in accordance with NSF standards and procedures, as described in the PAPPG.",no
944,78706ab1-aa43-4561-8755-c1234026e819,English Language Teaching and Learning Program,DOS-UZB,population,pop_03,Low-Income Populations,"Research that studies, serves, or is designed to benefit economically disadvantaged people: households below the poverty line, low-income families, people experiencing financial hardship, welfare and safety-net recipients, and underserved communities defined by economic status. Covers poverty, income inequality, economic mobility, and material deprivation as they affect people.","Funded programs will run for no more than two years and will produce measurable gains in English proficiency across priority professional communities. Eligible ApplicantsThe following not-for-profit organizations are eligible to apply:â Not-for-profit organizations, including think tanks and civil society/nongovernmental organizations â Public International Organizations and Governmental institutions For-profit entities, even those that may fall into the categories listed above, are not eligible to apply for this NOFO. Organizations may sub-contract with other entities, but only one, nonprofit, non-governmental entity can be the prime recipient of the award.",no
945,fa8461e3-f4a1-4abb-a512-2be5c6e56d7a,Small Business Transition Grant for New Entrepreneurs (Parent R41/R42 Clinical Trial Optional),HHS-NIH11,method,method_09,Community-Based Participatory Research,"Research conducted in equitable partnership with community members and organisations, who share in design, data collection, interpretation, and dissemination. Distinguished by community co-ownership of the research process, not merely recruiting community participants or conducting outreach.","United States small businesses that have the research capabilities and technological expertise to contribute to the R&D mission(s) of the NIH awarding components identified in this NOFO are encouraged to begin to consider applying for this new NOFO. This opportunity is available to first-time Principal Investigators, and key personnel must include a mentor with measurable effort committed to the project. Only United States small business concerns (SBCs), as defined by the Small Business Administration (SBA)(sbir.gov/apply) are eligible to submit applications for this opportunity.",no
946,fa8461e3-f4a1-4abb-a512-2be5c6e56d7a,Small Business Transition Grant for New Entrepreneurs (Parent R41/R42 Clinical Trial Optional),HHS-NIH11,method,method_16,Meta-Analysis,"Research statistically synthesising results across multiple prior studies: systematic review with pooled effect sizes, evidence synthesis, and quantitative aggregation of published findings.","Small Business Transition Grant for New Entrepreneurs (Parent R41/R42 Clinical Trial Optional) The National Institutes of Health (NIH), including the participating Institutes, Centers and Offices, intends to publish a Notice of Funding Opportunity (NOFO) to invite eligible United States small business concerns (SBCs) to submit Small Business Technology Transfer (STTR) Phase I, and Fast-Track grant applications for the Small Business Transition Grant. Through this NOFO, NIH will support early-career scientists transitioning to entrepreneurship.",no
947,fa8461e3-f4a1-4abb-a512-2be5c6e56d7a,Small Business Transition Grant for New Entrepreneurs (Parent R41/R42 Clinical Trial Optional),HHS-NIH11,population,pop_08,Racial and Ethnic Minorities,"Research that studies, serves, or is designed to benefit racially and ethnically minoritised groups, including African American and Black, Hispanic and Latino, Asian American, and Pacific Islander populations. Covers racial health disparities, discrimination, structural racism, minority-serving contexts, and underrepresentation by race or ethnicity.","This NOFO will utilize the R41/R42 activity code. United States small businesses that have the research capabilities and technological expertise to contribute to the R&D mission(s) of the NIH awarding components identified in this NOFO are encouraged to begin to consider applying for this new NOFO. This opportunity is available to first-time Principal Investigators, and key personnel must include a mentor with measurable effort committed to the project.",no
948,fa8461e3-f4a1-4abb-a512-2be5c6e56d7a,Small Business Transition Grant for New Entrepreneurs (Parent R41/R42 Clinical Trial Optional),HHS-NIH11,population,pop_19,Small Business Owners,"Research that studies, serves, or is designed to benefit entrepreneurs and owners of small and medium enterprises, including minority-owned, women-owned, and veteran-owned businesses and start-up founders. Covers small business formation, survival, access to capital, and commercialisation by small firms.","This opportunity is available to first-time Principal Investigators, and key personnel must include a mentor with measurable effort committed to the project. Only United States small business concerns (SBCs), as defined by the Small Business Administration (SBA)(sbir.gov/apply) are eligible to submit applications for this opportunity. Individuals are eligible to serve as the PD/PI if they have never been an independent PD/PI on an NIH or CDC research, or corresponding non-NIH peer-reviewed research grant, and are a U.S. Citizen or Lawful Permanent Resident.",yes
949,0bccfdd2-7ee0-40c3-bf99-139fdf9c6e95,Postdoctoral Research Fellowships in Biology (PRFB),NSF,method,method_01,Machine Learning,"Research that uses or develops machine learning: supervised and unsupervised learning, predictive modelling, classification and regression algorithms, feature learning, and artificial intelligence approaches where a system improves from data rather than following fixed rules. Applies when learning from data is a method the work uses or advances.","These combinations of current expertise and new cross-training will produce scientists who work seamlessly at the intersection of AI and biology. The fellows are expected to become field leaders who use AI capabilities to extrapolate from biological data to technological advances. Proposers are encouraged to consider how to leverage the nationâs diversity of existing biological data, and biological infrastructure, such as Biofoundries, Programmable Cloud Labs, Manufacturing USA Institutes, and NEON, to accelerate discovery, innovation and the biotechnology that improves human lives, promotes the U.S. economy, and benefits the nation.",yes
950,0bccfdd2-7ee0-40c3-bf99-139fdf9c6e95,Postdoctoral Research Fellowships in Biology (PRFB),NSF,method,method_02,Deep Learning,"Research that uses or develops deep neural networks: multi-layer architectures, convolutional and recurrent networks, transformers, foundation models, and representation learning. A specialisation of machine learning distinguished by learned hierarchical representations.",Candidates with AI and/or biology experience will develop deep expertise in both by proposing additional training in both areas. These combinations of current expertise and new cross-training will produce scientists who work seamlessly at the intersection of AI and biology. The fellows are expected to become field leaders who use AI capabilities to extrapolate from biological data to technological advances.,no
951,0bccfdd2-7ee0-40c3-bf99-139fdf9c6e95,Postdoctoral Research Fellowships in Biology (PRFB),NSF,method,method_19,Bioinformatics,"Research applying computational methods to biological data: genomics and sequence analysis, transcriptomics, proteomics, structural biology computation, phylogenetics, and computational biology pipelines.","Supports postdoctoral fellowships that train early-career scientists to apply AI to biological research, advancing biotechnology innovation while preparing future leaders at the intersection of AI and biology. Synopsis The integration of Artificial Intelligence (AI) and Biological Research has the potential to pave the way for breakthroughs in biotechnology and bio-system design that will create innovations, new industries, and jobs. To capitalize on this promise, the Directorate for Biological Sciences (BIO) will make awards for Postdoctoral Research Fellowships in Biology (PRFB) to recent doctoral degree recipients, for proposals with a research and training focus at the Intersection of Artificial Intelligence and Biological Sciences to Strengthen and Safeguard Biotechnology Innovations.",yes
952,748e9f74-762b-47fe-9395-c6f9b47f364d,The Metastasis Research Network (MetNet): MetNet Research Projects (U01 Clinical Trial Not Allowed),HHS-NIH11,method,method_16,Meta-Analysis,"Research statistically synthesising results across multiple prior studies: systematic review with pooled effect sizes, evidence synthesis, and quantitative aggregation of published findings.","Through this Notice of Funding Opportunity (NOFO), the NCI invites applications for MetNet Research Projects. These Research Projects should be defined as discrete entities that use systems-level approaches to address gaps and opportunities in metastasis research to integrate into the MetNet and complement ongoing research across the Network. Refer to Section III.",no
953,e0553041-a1f8-408e-b195-b61163ba8852,Bridge2AI Network for AI Health Science,HHS-NIH11,method,method_01,Machine Learning,"Research that uses or develops machine learning: supervised and unsupervised learning, predictive modelling, classification and regression algorithms, feature learning, and artificial intelligence approaches where a system improves from data rather than following fixed rules. Applies when learning from data is a method the work uses or advances.","Stage 1 of the Bridge2AI program produced unique, large-scale, valuable, and open resource, AI-ready datasets and best practices that the scientific community can adopt. The second stage of the program will foster advances on two fronts: 1) Leverage the AI-ready datasets from Stage 1 to yield products that can address biomedical and behavioral research grand challenges, accelerate the discovery of new biological theories and rules, and advance understanding of biological and behavioral mechanisms of health and disease; 2) Create networks of multidisciplinary researchers to advance the science of AI science by developing necessary metrics and a framework to for trustworthy, reproducible and explainable AI-enabled biomedical and behavioral research. This forecast is being provided to allow potential applicants sufficient time to develop meaningful collaborations and responsive projects.",yes
954,e0553041-a1f8-408e-b195-b61163ba8852,Bridge2AI Network for AI Health Science,HHS-NIH11,method,method_02,Deep Learning,"Research that uses or develops deep neural networks: multi-layer architectures, convolutional and recurrent networks, transformers, foundation models, and representation learning. A specialisation of machine learning distinguished by learned hierarchical representations.","This NOFO will utilize the U24 activity code. The NOFO will support a research initiative that will create a network of multidisciplinary Centers to advance the science of AI science. Centers will work across the evolving landscape of AI science to create a framework for trustworthy, reproducible and explainable AI-enabled biomedical and behavioral research.",no
955,e0553041-a1f8-408e-b195-b61163ba8852,Bridge2AI Network for AI Health Science,HHS-NIH11,method,method_04,Computer Vision,"Research that uses or develops automated interpretation of images and video: object detection and recognition, image segmentation, visual perception for robots and embodied systems, medical image analysis, and scene understanding from visual sensors.","Centers will work across the evolving landscape of AI science to create a framework for trustworthy, reproducible and explainable AI-enabled biomedical and behavioral research. Center activities will include evaluation of AI models and products built through other initiatives in the program and other sources, convening expert panels and round tables, supporting pilot research activities, multidisciplinary cross-training and dissemination activities to help grow the nascent field of biomedical and behavioral research AI science. The Network of Centers will produce best practices for AI methods and trustworthy AI model building principles, frameworks to enable the evaluation of AI models and methods for reproducibility, replicability and transparency, guiding principles for agentic autonomous labs of the future, and multidisciplinary training to strengthen the American biomedical and behavioral research AI workforce.",no
956,e0553041-a1f8-408e-b195-b61163ba8852,Bridge2AI Network for AI Health Science,HHS-NIH11,method,method_13,Simulation and Modeling,"Research using computational models to represent real-world systems: numerical simulation, agent-based modelling, Monte Carlo methods, digital twins, and physics-based or process-based models used to explore system behaviour.","Center activities will include evaluation of AI models and products built through other initiatives in the program and other sources, convening expert panels and round tables, supporting pilot research activities, multidisciplinary cross-training and dissemination activities to help grow the nascent field of biomedical and behavioral research AI science. The Network of Centers will produce best practices for AI methods and trustworthy AI model building principles, frameworks to enable the evaluation of AI models and methods for reproducibility, replicability and transparency, guiding principles for agentic autonomous labs of the future, and multidisciplinary training to strengthen the American biomedical and behavioral research AI workforce. This initiative will support 3-5 Centers, and is one of twoInitiatives under the Bridge2AI program, the other of which will be supported by a research contract.",no
957,e0553041-a1f8-408e-b195-b61163ba8852,Bridge2AI Network for AI Health Science,HHS-NIH11,method,method_16,Meta-Analysis,"Research statistically synthesising results across multiple prior studies: systematic review with pooled effect sizes, evidence synthesis, and quantitative aggregation of published findings.","Stage 1 of the Bridge2AI program produced unique, large-scale, valuable, and open resource, AI-ready datasets and best practices that the scientific community can adopt. The second stage of the program will foster advances on two fronts: 1) Leverage the AI-ready datasets from Stage 1 to yield products that can address biomedical and behavioral research grand challenges, accelerate the discovery of new biological theories and rules, and advance understanding of biological and behavioral mechanisms of health and disease; 2) Create networks of multidisciplinary researchers to advance the science of AI science by developing necessary metrics and a framework to for trustworthy, reproducible and explainable AI-enabled biomedical and behavioral research. This forecast is being provided to allow potential applicants sufficient time to develop meaningful collaborations and responsive projects.",no
958,e0553041-a1f8-408e-b195-b61163ba8852,Bridge2AI Network for AI Health Science,HHS-NIH11,method,method_19,Bioinformatics,"Research applying computational methods to biological data: genomics and sequence analysis, transcriptomics, proteomics, structural biology computation, phylogenetics, and computational biology pipelines.","Stage 1 of the Bridge2AI program produced unique, large-scale, valuable, and open resource, AI-ready datasets and best practices that the scientific community can adopt. The second stage of the program will foster advances on two fronts: 1) Leverage the AI-ready datasets from Stage 1 to yield products that can address biomedical and behavioral research grand challenges, accelerate the discovery of new biological theories and rules, and advance understanding of biological and behavioral mechanisms of health and disease; 2) Create networks of multidisciplinary researchers to advance the science of AI science by developing necessary metrics and a framework to for trustworthy, reproducible and explainable AI-enabled biomedical and behavioral research. This forecast is being provided to allow potential applicants sufficient time to develop meaningful collaborations and responsive projects.",no
959,e0553041-a1f8-408e-b195-b61163ba8852,Bridge2AI Network for AI Health Science,HHS-NIH11,method,method_24,Systems Thinking,"Research treating the object of study as an interacting whole: systems approaches, complexity science, feedback loops, emergent behaviour, and analysis of interdependencies among components over time.","This NOFO will utilize the U24 activity code. The NOFO will support a research initiative that will create a network of multidisciplinary Centers to advance the science of AI science. Centers will work across the evolving landscape of AI science to create a framework for trustworthy, reproducible and explainable AI-enabled biomedical and behavioral research.",no
960,4c84053e-e06a-4e6a-942e-648548ae04a9,Promoting Human Rights For Vulnerable Children in Haut-Katanga,DOS-COD,population,pop_03,Low-Income Populations,"Research that studies, serves, or is designed to benefit economically disadvantaged people: households below the poverty line, low-income families, people experiencing financial hardship, welfare and safety-net recipients, and underserved communities defined by economic status. Covers poverty, income inequality, economic mobility, and material deprivation as they affect people.","The project activities to promote human rights of vulnerable children in Haut-Katanga will: (1) conduct a âlistening sessionâ to learn more about the challenges children in Haut-Katanga face; (2) support local health and social service providers to better assist child victims of human rights abuses; (3) conduct brief surveys, both a baseline and end of project survey, to t rack increase in local knowledge of and attitudes towards childrenâs rights and how to protect them; (4) train local organizations to build the capacity of human rights defenders to support children and advocate for childrenâs rights; and (5) conduct a local education campaign on radio and other appropriate platforms. The project may also include the following suggested activities: (6) creation and distribution of educational materials specific to childrenâs rights context in Haut-Katanga to local service providers, educators, and other appropriate community figures; and (7) facilitation of dialogue between human rights defenders and local officials Objective 1: To strengthen the local human rights framework by building the capacity of local childrenâs rights advocates, government officials, and service providers. Objective 2: To support local human rights defenders in advocating for youth.",no
961,4c84053e-e06a-4e6a-942e-648548ae04a9,Promoting Human Rights For Vulnerable Children in Haut-Katanga,DOS-COD,population,pop_04,Children and Youth,"Research that studies, serves, or is designed to benefit infants, children, adolescents, teenagers, and young people. Covers child development, paediatric health, early childhood, adolescent behaviour, foster care, at-risk youth, and juvenile populations. Distinct from Students, which concerns people by enrolment rather than by age.","The project may also include the following suggested activities: (6) creation and distribution of educational materials specific to childrenâs rights context in Haut-Katanga to local service providers, educators, and other appropriate community figures; and (7) facilitation of dialogue between human rights defenders and local officials Objective 1: To strengthen the local human rights framework by building the capacity of local childrenâs rights advocates, government officials, and service providers. Objective 2: To support local human rights defenders in advocating for youth. Frequently Asked Questions: Question: In following the directions of the notification of funding opportunity, I would like to verify if an organization that is only registered in the DRC is eligible to apply.",yes
962,4c84053e-e06a-4e6a-942e-648548ae04a9,Promoting Human Rights For Vulnerable Children in Haut-Katanga,DOS-COD,population,pop_09,Women and Girls,"Research that studies, serves, or is designed to benefit women and girls, including maternal and reproductive health, gender-based violence, women's participation and advancement, sex differences in disease, and gender equity in the workforce.","The U.S. Embassy Kinshasa of the U.S. Department of State announces a Notice of Funding Opportunity (NOFO) for a program to raise awareness of childrenâs rights among the local population, improve the capacity of local human rights defenders and service providers to assist child victims, and increase accountability of authorities in Haut-Katanga in their responsibility to protect children. The project activities to promote human rights of vulnerable children in Haut-Katanga will: (1) conduct a âlistening sessionâ to learn more about the challenges children in Haut-Katanga face; (2) support local health and social service providers to better assist child victims of human rights abuses; (3) conduct brief surveys, both a baseline and end of project survey, to t rack increase in local knowledge of and attitudes towards childrenâs rights and how to protect them; (4) train local organizations to build the capacity of human rights defenders to support children and advocate for childrenâs rights; and (5) conduct a local education campaign on radio and other appropriate platforms. The project may also include the following suggested activities: (6) creation and distribution of educational materials specific to childrenâs rights context in Haut-Katanga to local service providers, educators, and other appropriate community figures; and (7) facilitation of dialogue between human rights defenders and local officials Objective 1: To strengthen the local human rights framework by building the capacity of local childrenâs rights advocates, government officials, and service providers.",no
